Lead_ID,Lead_Date,MQL_Date,SQL_Date,Opportunity_Date,Won_Date,Deal_Value,Sales_Cycle_Days,Company_Name,Industry,Company_Size,Region,Lead_Source,Sales_Rep,Product_Interest,Engagement_Score,Lead_Status
L00034,2025-05-26,2025-05-29,2025-06-07,,,0,,Company_34,Retail,Small,South,Trade Show,Priya,Cybersecurity,12,Won
L00035,2025-02-02,2025-02-04,,,,0,,Company_35,Retail,Enterprise,Central,Google Ads,Amit,ERP Software,72,Won
L00036,2025-07-15,2025-07-18,2025-07-28,,,0,,Company_36,Logistics,Small,Central,LinkedIn,Vikash,CRM Software,84,Opportunity
L00037,2025-09-22,2025-09-26,2025-09-30,2025-10-15,2025-11-09,228616,48.0,Company_37,Finance,Mid-Market,North,Google Ads,Sneha,Analytics Platform,10,MQL
L00038,2025-06-07,2025-06-11,2025-06-16,,,0,,Company_38,Education,Mid-Market,South,Webinar,Neha,ERP Software,76,Lead
L00039,2025-07-31,,,,,0,,Company_39,Healthcare,Mid-Market,South,LinkedIn,Arjun,Cybersecurity,96,MQL
L00040,2025-06-18,2025-06-21,2025-06-30,2025-07-09,2025-07-16,632415,28.0,Company_40,Education,Small,South,Trade Show,Amit,Cybersecurity,69,Lead
L00041,2025-09-21,2025-09-22,,,,0,,Company_41,Education,Enterprise,East,Email Campaign,Sneha,CRM Software,50,Lead
L00042,2025-09-08,2025-09-12,2025-09-14,,,0,,Company_42,Healthcare,Mid-Market,North,Google Ads,Vikash,CRM Software,79,SQL
L00043,2025-07-06,2025-07-13,2025-07-15,2025-07-21,2025-08-10,412906,35.0,Company_43,Education,Mid-Market,East,LinkedIn,Amit,CRM Software,88,MQL
L00044,2025-01-31,2025-02-05,2025-02-10,,,0,,Company_44,Technology,Mid-Market,North,Referral,Neha,CRM Software,60,Lost
L00045,2025-12-08,2025-12-10,2025-12-17,2025-12-22,2025-12-29,276343,21.0,Company_45,Healthcare,Enterprise,North,Trade Show,Sneha,CRM Software,55,MQL
L00046,2025-01-18,2025-01-25,2025-01-31,,,0,,Company_46,Technology,Small,South,Email Campaign,Neha,ERP Software,14,Opportunity
L00047,2025-03-10,,,,,0,,Company_47,Healthcare,Small,West,Email Campaign,Rahul,Cloud Solutions,80,MQL
L00048,2025-05-25,,,,,0,,Company_48,Education,Enterprise,West,Referral,Vikash,Cybersecurity,21,MQL
L00049,2025-03-11,,,,,0,,Company_49,Technology,Mid-Market,East,Email Campaign,Neha,Cloud Solutions,55,Lead
L00050,2025-08-10,,,,,0,,Company_50,Manufacturing,Mid-Market,South,Referral,Rahul,ERP Software,19,Opportunity
L00051,2025-07-29,2025-08-05,2025-08-08,2025-08-20,,823861,,Company_51,Manufacturing,Mid-Market,North,Referral,Arjun,Analytics Platform,42,Lead
L00052,2025-03-08,2025-03-15,2025-03-24,,,0,,Company_52,Retail,Small,East,LinkedIn,Neha,Cloud Solutions,69,SQL
L00053,2025-06-05,2025-06-10,2025-06-15,2025-06-19,2025-07-16,635532,41.0,Company_53,Retail,Enterprise,South,Email Campaign,Sneha,Cloud Solutions,52,Won
L00054,2025-02-04,,,,,0,,Company_54,Technology,Enterprise,North,Webinar,Neha,ERP Software,25,Lead
L00055,2025-03-28,2025-03-31,2025-04-02,2025-04-13,2025-05-06,172081,39.0,Company_55,Logistics,Small,East,Google Ads,Arjun,Cybersecurity,25,MQL
L00056,2025-11-03,,,,,0,,Company_56,Manufacturing,Mid-Market,East,Website,Vikash,Cybersecurity,58,Lead
L00057,2025-07-04,2025-07-08,2025-07-15,2025-07-28,,293646,,Company_57,Logistics,Mid-Market,South,Webinar,Sneha,Cybersecurity,95,MQL
L00058,2025-06-22,2025-06-25,2025-07-04,2025-07-11,2025-08-06,687629,45.0,Company_58,Retail,Mid-Market,South,Website,Sneha,Cloud Solutions,42,MQL
L00059,2025-04-30,,,,,0,,Company_59,Healthcare,Enterprise,East,Referral,Sneha,Cybersecurity,94,MQL
L00060,2025-10-02,,,,,0,,Company_60,Technology,Enterprise,North,Google Ads,Arjun,Analytics Platform,63,MQL
L00061,2025-12-25,2025-12-29,2026-01-07,,,0,,Company_61,Education,Mid-Market,West,Google Ads,Sneha,CRM Software,35,Lost
L00062,2025-08-11,2025-08-15,,,,0,,Company_62,Manufacturing,Small,Central,LinkedIn,Priya,Analytics Platform,77,Won
L00063,2025-01-18,2025-01-21,2025-01-28,2025-02-05,2025-03-04,265166,45.0,Company_63,Logistics,Mid-Market,Central,Trade Show,Sneha,Analytics Platform,81,Lead
L00064,2025-07-19,2025-07-26,2025-08-02,,,0,,Company_64,Education,Mid-Market,North,Webinar,Arjun,CRM Software,70,Opportunity
L00065,2025-06-03,2025-06-07,2025-06-13,,,0,,Company_65,Education,Mid-Market,South,Trade Show,Neha,ERP Software,92,SQL
L00066,2025-12-14,2025-12-15,2025-12-23,,,0,,Company_66,Logistics,Enterprise,Central,LinkedIn,Arjun,Cloud Solutions,51,MQL
L00067,2025-02-04,2025-02-11,,,,0,,Company_67,Retail,Small,East,LinkedIn,Vikash,Cybersecurity,21,Opportunity
L00068,2025-08-02,,,,,0,,Company_68,Technology,Mid-Market,Central,Webinar,Sneha,Cloud Solutions,36,MQL
L00069,2025-06-18,2025-06-20,2025-06-29,,,0,,Company_69,Logistics,Enterprise,East,Referral,Amit,Analytics Platform,89,Lead
L00070,2025-08-24,2025-08-29,2025-09-03,,,0,,Company_70,Education,Small,Central,Referral,Neha,Cloud Solutions,30,MQL
L00071,2025-02-28,,,,,0,,Company_71,Logistics,Small,South,Google Ads,Neha,Analytics Platform,92,Lead
L00072,2025-11-20,,,,,0,,Company_72,Finance,Enterprise,South,Google Ads,Neha,Analytics Platform,56,SQL
L00073,2025-05-08,2025-05-13,,,,0,,Company_73,Logistics,Mid-Market,Central,Trade Show,Arjun,CRM Software,10,SQL
L00074,2025-12-15,2025-12-22,2025-12-31,2026-01-06,2026-01-24,675792,40.0,Company_74,Finance,Mid-Market,North,Google Ads,Vikash,ERP Software,63,MQL
L00075,2025-09-27,2025-09-28,,,,0,,Company_75,Finance,Mid-Market,North,Referral,Priya,ERP Software,76,Lead
L00076,2025-09-21,,,,,0,,Company_76,Retail,Small,West,Email Campaign,Priya,Analytics Platform,31,Opportunity
L00077,2025-11-14,2025-11-16,2025-11-26,,,0,,Company_77,Technology,Mid-Market,South,LinkedIn,Amit,Cloud Solutions,62,Lead
L00078,2025-06-15,,,,,0,,Company_78,Logistics,Small,Central,Google Ads,Arjun,Analytics Platform,38,Lead
L00079,2025-10-23,,,,,0,,Company_79,Finance,Mid-Market,Central,Trade Show,Rahul,CRM Software,87,MQL
L00080,2025-01-22,,,,,0,,Company_80,Finance,Small,West,Website,Amit,Analytics Platform,40,MQL
L00081,2025-02-19,2025-02-26,2025-03-01,,,0,,Company_81,Logistics,Enterprise,Central,Webinar,Vikash,Cybersecurity,19,Lead
L00082,2025-04-14,,,,,0,,Company_82,Education,Small,North,Webinar,Vikash,Cloud Solutions,53,Lead
L00083,2025-02-14,,,,,0,,Company_83,Healthcare,Mid-Market,East,Website,Amit,ERP Software,99,Lost
L00084,2025-09-27,2025-10-02,2025-10-07,,,0,,Company_84,Healthcare,Small,Central,Website,Amit,Cybersecurity,80,SQL
L00085,2025-12-14,2025-12-15,2025-12-21,2026-01-03,2026-02-01,361541,49.0,Company_85,Education,Small,Central,Referral,Rahul,Cloud Solutions,19,Opportunity
L00086,2025-02-03,,,,,0,,Company_86,Manufacturing,Mid-Market,East,Website,Priya,Cloud Solutions,19,MQL
L00087,2025-09-26,2025-09-29,2025-10-02,2025-10-16,2025-10-25,507626,29.0,Company_87,Logistics,Enterprise,Central,Email Campaign,Neha,ERP Software,12,Won
L00088,2025-12-02,2025-12-05,2025-12-15,2025-12-22,2025-12-31,533195,29.0,Company_88,Retail,Enterprise,West,Google Ads,Sneha,ERP Software,98,Lead
L00089,2025-04-20,2025-04-25,2025-04-27,2025-05-07,,949410,,Company_89,Manufacturing,Mid-Market,East,Trade Show,Amit,Analytics Platform,100,Lost
L00090,2025-09-06,2025-09-07,2025-09-16,2025-09-20,,374277,,Company_90,Finance,Small,North,Webinar,Neha,CRM Software,23,Lead
L00091,2025-07-24,2025-07-31,2025-08-03,,,0,,Company_91,Logistics,Mid-Market,Central,LinkedIn,Sneha,Analytics Platform,78,Lost
L00092,2025-12-19,2025-12-24,,,,0,,Company_92,Manufacturing,Enterprise,North,Referral,Rahul,Analytics Platform,77,MQL
L00093,2025-02-09,,,,,0,,Company_93,Manufacturing,Enterprise,West,Website,Arjun,Cloud Solutions,59,Lead
L00094,2025-11-05,2025-11-11,,,,0,,Company_94,Retail,Enterprise,Central,Website,Arjun,Cybersecurity,75,Lead
L00095,2025-01-20,2025-01-22,2025-01-29,2025-02-07,2025-02-26,607119,37.0,Company_95,Healthcare,Enterprise,West,Webinar,Arjun,ERP Software,99,Lead
L00096,2025-04-28,2025-05-03,2025-05-08,2025-05-14,2025-05-23,382901,25.0,Company_96,Technology,Mid-Market,North,Trade Show,Neha,CRM Software,37,MQL
L00097,2025-10-15,,,,,0,,Company_97,Education,Mid-Market,East,Email Campaign,Rahul,Cybersecurity,10,Lead
L00098,2025-11-10,,,,,0,,Company_98,Manufacturing,Mid-Market,Central,Google Ads,Neha,CRM Software,33,SQL
L00099,2025-01-18,2025-01-23,2025-01-27,,,0,,Company_99,Logistics,Enterprise,East,Trade Show,Vikash,Analytics Platform,37,SQL
L00100,2025-12-05,,,,,0,,Company_100,Finance,Enterprise,Central,Google Ads,Neha,Cybersecurity,67,SQL
L00101,2025-10-21,,,,,0,,Company_101,Manufacturing,Small,West,Referral,Sneha,ERP Software,34,Won
L00102,2025-07-20,2025-07-25,2025-07-28,,,0,,Company_102,Retail,Mid-Market,South,Webinar,Vikash,Cloud Solutions,78,Lead
L00103,2025-03-30,2025-04-05,2025-04-15,,,0,,Company_103,Manufacturing,Enterprise,South,Website,Priya,Analytics Platform,28,Lead
L00104,2025-07-14,,,,,0,,Company_104,Technology,Mid-Market,South,Webinar,Arjun,Cybersecurity,90,Opportunity
L00105,2025-06-04,2025-06-06,,,,0,,Company_105,Education,Enterprise,West,Trade Show,Arjun,Cloud Solutions,11,Lead
L00106,2025-10-01,2025-10-03,2025-10-10,2025-10-13,,459799,,Company_106,Manufacturing,Mid-Market,Central,Referral,Sneha,CRM Software,28,Lead
L00107,2025-04-19,,,,,0,,Company_107,Education,Small,North,LinkedIn,Priya,ERP Software,14,SQL
L00108,2025-02-13,2025-02-18,2025-02-28,2025-03-13,,192621,,Company_108,Healthcare,Mid-Market,East,Google Ads,Amit,Cloud Solutions,81,SQL
L00109,2025-07-28,2025-08-04,,,,0,,Company_109,Manufacturing,Mid-Market,West,Referral,Sneha,ERP Software,70,Lead
L00110,2025-11-26,2025-11-30,2025-12-08,2025-12-20,,117446,,Company_110,Technology,Mid-Market,East,Email Campaign,Priya,Cybersecurity,71,Lead
L00111,2025-12-23,2025-12-24,2026-01-02,2026-01-06,2026-01-14,964835,22.0,Company_111,Finance,Small,West,Google Ads,Neha,CRM Software,52,Lead
L00112,2025-01-18,,,,,0,,Company_112,Education,Enterprise,East,LinkedIn,Neha,Cloud Solutions,53,SQL
L00113,2025-01-22,2025-01-27,2025-02-01,2025-02-04,,158021,,Company_113,Manufacturing,Enterprise,Central,LinkedIn,Amit,CRM Software,37,Lead
L00114,2025-06-29,,,,,0,,Company_114,Technology,Enterprise,North,Email Campaign,Sneha,Analytics Platform,75,MQL
L00115,2025-12-21,,,,,0,,Company_115,Logistics,Mid-Market,North,Website,Neha,Analytics Platform,94,Opportunity
L00116,2025-11-12,,,,,0,,Company_116,Healthcare,Enterprise,East,Trade Show,Amit,Cybersecurity,59,Lead
L00117,2025-12-11,2025-12-17,,,,0,,Company_117,Healthcare,Mid-Market,Central,Trade Show,Arjun,ERP Software,14,Opportunity
L00118,2025-05-02,2025-05-08,2025-05-15,2025-05-24,,935523,,Company_118,Logistics,Small,West,Referral,Sneha,CRM Software,60,Opportunity
L00119,2025-08-23,,,,,0,,Company_119,Finance,Mid-Market,East,Website,Arjun,ERP Software,46,Lead
L00120,2025-11-19,2025-11-20,2025-11-29,,,0,,Company_120,Manufacturing,Small,East,Webinar,Arjun,Cloud Solutions,47,Lead
L00121,2025-02-21,,,,,0,,Company_121,Technology,Small,South,Google Ads,Neha,ERP Software,98,Lost
L00122,2025-04-07,,,,,0,,Company_122,Retail,Mid-Market,East,Website,Arjun,Cybersecurity,62,SQL
L00123,2025-08-23,2025-08-30,2025-09-08,,,0,,Company_123,Education,Mid-Market,Central,Webinar,Rahul,Cybersecurity,30,Lead
L00124,2025-07-15,,,,,0,,Company_124,Logistics,Mid-Market,East,Trade Show,Sneha,ERP Software,25,Lead
L00125,2025-05-09,2025-05-13,,,,0,,Company_125,Retail,Enterprise,Central,Referral,Neha,Cloud Solutions,87,MQL
L00126,2025-08-11,,,,,0,,Company_126,Healthcare,Small,South,Webinar,Rahul,Cybersecurity,22,MQL
L00127,2025-12-19,,,,,0,,Company_127,Manufacturing,Enterprise,North,Google Ads,Neha,Cloud Solutions,38,MQL
L00128,2025-07-12,2025-07-16,,,,0,,Company_128,Logistics,Mid-Market,East,Referral,Amit,ERP Software,97,Lead
L00129,2025-10-03,2025-10-05,,,,0,,Company_129,Healthcare,Mid-Market,South,Google Ads,Rahul,Cybersecurity,68,Won
L00130,2025-02-16,,,,,0,,Company_130,Technology,Enterprise,North,LinkedIn,Vikash,Cloud Solutions,35,SQL
L00131,2025-12-06,2025-12-10,2025-12-15,,,0,,Company_131,Technology,Mid-Market,Central,LinkedIn,Vikash,Cybersecurity,12,Lead
L00132,2025-09-26,,,,,0,,Company_132,Education,Mid-Market,South,Trade Show,Amit,Cloud Solutions,52,SQL
L00133,2025-11-02,,,,,0,,Company_133,Education,Small,East,Google Ads,Vikash,Analytics Platform,54,Lead
L00134,2025-11-08,2025-11-13,,,,0,,Company_134,Technology,Small,North,Email Campaign,Sneha,ERP Software,97,Lead
L00135,2025-06-30,,,,,0,,Company_135,Healthcare,Enterprise,West,Referral,Priya,Analytics Platform,74,MQL
L00136,2025-01-09,2025-01-14,2025-01-24,2025-02-05,,269829,,Company_136,Manufacturing,Small,Central,Webinar,Priya,ERP Software,91,Lost
L00137,2025-05-06,2025-05-10,,,,0,,Company_137,Education,Small,South,Referral,Sneha,Cybersecurity,64,SQL
L00138,2025-06-26,,,,,0,,Company_138,Finance,Enterprise,West,LinkedIn,Arjun,Cybersecurity,58,Lead
L00139,2025-11-19,2025-11-21,,,,0,,Company_139,Manufacturing,Small,South,Referral,Amit,ERP Software,26,MQL
L00140,2025-08-15,2025-08-20,,,,0,,Company_140,Healthcare,Mid-Market,Central,Trade Show,Priya,Cloud Solutions,19,Lead
L00141,2025-05-07,2025-05-10,2025-05-18,,,0,,Company_141,Logistics,Small,Central,LinkedIn,Vikash,Cloud Solutions,20,Lead
L00142,2025-11-25,2025-12-01,2025-12-10,,,0,,Company_142,Logistics,Small,North,Referral,Arjun,Analytics Platform,53,Lost
L00143,2025-09-13,2025-09-18,2025-09-24,,,0,,Company_143,Education,Enterprise,Central,Referral,Amit,ERP Software,31,MQL
L00144,2025-02-03,2025-02-06,,,,0,,Company_144,Retail,Enterprise,Central,Referral,Amit,ERP Software,75,Lead
L00145,2025-08-09,2025-08-15,2025-08-24,,,0,,Company_145,Retail,Small,East,Website,Sneha,ERP Software,100,SQL
L00146,2025-08-22,2025-08-29,2025-09-04,,,0,,Company_146,Manufacturing,Mid-Market,Central,Referral,Priya,Cybersecurity,48,MQL
L00147,2025-09-06,,,,,0,,Company_147,Retail,Small,North,Referral,Vikash,Analytics Platform,30,Lead
L00148,2025-10-11,2025-10-15,2025-10-23,,,0,,Company_148,Finance,Mid-Market,Central,Referral,Sneha,Analytics Platform,68,Lost
L00149,2025-04-26,,,,,0,,Company_149,Retail,Enterprise,East,Website,Neha,Cloud Solutions,42,Lost
L00150,2025-11-15,2025-11-19,2025-11-23,,,0,,Company_150,Logistics,Enterprise,North,Google Ads,Priya,Analytics Platform,92,Lead
L00151,2025-02-20,2025-02-24,,,,0,,Company_151,Retail,Small,South,Trade Show,Arjun,Analytics Platform,54,MQL
L00152,2025-03-07,2025-03-13,2025-03-16,2025-03-24,2025-04-08,543507,32.0,Company_152,Logistics,Small,North,Website,Sneha,CRM Software,76,Opportunity
L00153,2025-02-28,2025-03-02,,,,0,,Company_153,Finance,Mid-Market,North,Email Campaign,Arjun,ERP Software,62,Lead
L00154,2025-08-04,2025-08-08,,,,0,,Company_154,Technology,Mid-Market,North,Trade Show,Arjun,ERP Software,91,Won
L00155,2025-09-20,2025-09-22,2025-09-25,2025-10-02,2025-10-09,717682,19.0,Company_155,Education,Small,North,Trade Show,Neha,Cybersecurity,26,Lead
L00156,2025-09-27,2025-09-28,2025-10-05,2025-10-10,2025-11-02,96360,36.0,Company_156,Logistics,Enterprise,South,Google Ads,Arjun,Cloud Solutions,96,Lead
L00157,2025-03-03,,,,,0,,Company_157,Retail,Enterprise,Central,Trade Show,Sneha,Cloud Solutions,67,Lead
L00158,2025-09-18,,,,,0,,Company_158,Education,Enterprise,South,Referral,Neha,ERP Software,19,Lead
L00159,2025-10-30,2025-11-01,2025-11-07,2025-11-14,,380014,,Company_159,Education,Enterprise,South,Trade Show,Priya,Analytics Platform,28,MQL
L00160,2025-09-26,2025-09-29,,,,0,,Company_160,Manufacturing,Small,South,LinkedIn,Arjun,CRM Software,21,Lead
L00161,2025-04-04,2025-04-10,,,,0,,Company_161,Technology,Small,Central,Trade Show,Vikash,Cybersecurity,39,Lead
L00162,2025-02-21,,,,,0,,Company_162,Finance,Mid-Market,East,Webinar,Amit,Analytics Platform,46,SQL
L00163,2025-01-10,,,,,0,,Company_163,Technology,Small,West,Website,Neha,Analytics Platform,86,Opportunity
L00164,2025-07-20,2025-07-24,,,,0,,Company_164,Technology,Mid-Market,East,Trade Show,Vikash,CRM Software,38,Lead
L00165,2025-12-10,2025-12-11,2025-12-18,2025-12-21,2025-12-26,239633,16.0,Company_165,Finance,Small,East,Google Ads,Arjun,CRM Software,42,MQL
L00166,2025-03-11,2025-03-15,2025-03-24,,,0,,Company_166,Finance,Enterprise,South,Referral,Rahul,Cloud Solutions,84,MQL
L00167,2025-04-30,2025-05-03,,,,0,,Company_167,Healthcare,Enterprise,North,Trade Show,Neha,Analytics Platform,34,Lead
L00168,2025-12-11,,,,,0,,Company_168,Education,Small,West,Trade Show,Arjun,CRM Software,35,MQL
L00169,2025-01-10,2025-01-16,,,,0,,Company_169,Logistics,Enterprise,North,LinkedIn,Neha,Cybersecurity,48,Opportunity
L00170,2025-09-26,,,,,0,,Company_170,Manufacturing,Small,Central,Trade Show,Neha,Analytics Platform,10,Opportunity
L00171,2025-10-13,2025-10-14,,,,0,,Company_171,Manufacturing,Small,South,Referral,Rahul,ERP Software,21,Lost
L00172,2025-08-16,,,,,0,,Company_172,Technology,Enterprise,Central,Webinar,Priya,CRM Software,37,Opportunity
L00173,2025-11-07,2025-11-08,,,,0,,Company_173,Technology,Enterprise,South,Webinar,Rahul,Analytics Platform,86,Lead
L00174,2025-06-09,,,,,0,,Company_174,Finance,Mid-Market,North,Webinar,Vikash,Analytics Platform,56,Lead
L00175,2025-10-06,,,,,0,,Company_175,Logistics,Enterprise,North,Trade Show,Rahul,Cloud Solutions,94,Won
L00176,2025-07-25,2025-07-28,2025-08-06,,,0,,Company_176,Finance,Mid-Market,South,Referral,Vikash,ERP Software,46,Lead
L00177,2025-12-20,,,,,0,,Company_177,Education,Enterprise,North,Website,Sneha,Analytics Platform,78,Opportunity
L00178,2025-09-17,2025-09-20,2025-09-24,2025-10-02,,622816,,Company_178,Healthcare,Enterprise,West,Google Ads,Sneha,Cloud Solutions,29,Won
L00179,2025-12-14,2025-12-16,,,,0,,Company_179,Finance,Enterprise,West,LinkedIn,Neha,ERP Software,46,Lead
L00180,2025-09-30,2025-10-04,2025-10-10,2025-10-13,,499965,,Company_180,Healthcare,Small,West,Google Ads,Rahul,CRM Software,44,Lead
L00181,2025-10-10,2025-10-15,2025-10-25,2025-11-09,,594422,,Company_181,Retail,Mid-Market,East,Google Ads,Neha,CRM Software,75,Lead
L00182,2025-07-03,2025-07-09,,,,0,,Company_182,Technology,Enterprise,West,Webinar,Priya,Cloud Solutions,28,Opportunity
L00183,2025-06-30,,,,,0,,Company_183,Healthcare,Mid-Market,Central,Google Ads,Vikash,ERP Software,99,Won
L00184,2025-09-21,2025-09-24,2025-10-04,,,0,,Company_184,Retail,Mid-Market,South,Webinar,Arjun,Cloud Solutions,83,Opportunity
L00185,2025-11-27,,,,,0,,Company_185,Logistics,Small,East,Trade Show,Neha,Cloud Solutions,59,Lead
L00186,2025-10-31,2025-11-03,,,,0,,Company_186,Education,Mid-Market,North,Google Ads,Amit,Cybersecurity,36,Lead
L00187,2025-02-24,2025-03-03,2025-03-07,2025-03-18,,918392,,Company_187,Education,Mid-Market,South,LinkedIn,Sneha,ERP Software,59,Opportunity
L00188,2025-09-06,2025-09-07,2025-09-12,,,0,,Company_188,Healthcare,Enterprise,West,Website,Vikash,Cloud Solutions,87,Lost
L00189,2025-05-23,,,,,0,,Company_189,Education,Small,West,Trade Show,Sneha,Cybersecurity,84,MQL
L00190,2025-12-27,2025-12-30,2026-01-08,,,0,,Company_190,Technology,Enterprise,East,Email Campaign,Amit,CRM Software,49,Lead
L00191,2025-08-15,2025-08-20,2025-08-23,2025-08-29,,388511,,Company_191,Retail,Enterprise,West,Google Ads,Vikash,Cloud Solutions,98,MQL
L00192,2025-06-17,2025-06-22,2025-06-29,2025-07-09,2025-07-27,110110,40.0,Company_192,Manufacturing,Mid-Market,North,Email Campaign,Arjun,CRM Software,22,Lost
L00193,2025-05-08,2025-05-09,,,,0,,Company_193,Logistics,Mid-Market,West,Email Campaign,Rahul,ERP Software,79,Lead
L00194,2025-05-22,2025-05-27,2025-06-04,2025-06-15,2025-07-04,297080,43.0,Company_194,Logistics,Mid-Market,West,Trade Show,Rahul,ERP Software,76,Opportunity
L00195,2025-01-04,,,,,0,,Company_195,Technology,Mid-Market,Central,Google Ads,Arjun,Cloud Solutions,64,Lead
L00196,2025-04-24,,,,,0,,Company_196,Retail,Small,West,Webinar,Arjun,Analytics Platform,67,MQL
L00197,2025-04-13,2025-04-20,,,,0,,Company_197,Manufacturing,Enterprise,West,LinkedIn,Amit,Cybersecurity,52,MQL
L00198,2025-09-04,2025-09-10,2025-09-20,2025-09-23,2025-10-13,126322,39.0,Company_198,Technology,Mid-Market,South,Webinar,Vikash,Cybersecurity,80,MQL
L00199,2025-09-30,,,,,0,,Company_199,Retail,Enterprise,Central,LinkedIn,Arjun,ERP Software,30,Lead
L00200,2025-04-09,,,,,0,,Company_200,Technology,Enterprise,West,Website,Amit,CRM Software,80,Lost
L00201,2025-03-30,2025-04-02,2025-04-07,2025-04-17,,989952,,Company_201,Manufacturing,Enterprise,South,Google Ads,Amit,Cloud Solutions,72,Lead
L00202,2025-01-31,2025-02-05,,,,0,,Company_202,Logistics,Mid-Market,South,LinkedIn,Neha,Cloud Solutions,35,SQL
